"References","Qty","Part","Manufacturer","MPN","Package","Unit USD","Line USD","Price basis","Installation","Assembly notes","Source URL","Date"
"U1","1","3.3 V 600 mA LDO","Diodes Incorporated","AP2112K-3.3TRG1","SOT-23-5","0.45","0.45","Estimate","Required","SMT bottom","https://www.diodes.com/assets/Datasheets/AP2112.pdf","2026-09-06"
"U2","1","Temperature and humidity","Sensirion","SHT40-AD1B-R2","DFN-4 1.5 x 1.5 mm","3.5","3.5","Estimate","Required","SMT top; no wash or coating over sensor","https://sensirion.com/products/catalog/SHT40","2026-09-06"
"Q1","1","Reverse input polarity MOSFET","Alpha & Omega","AO3401A","SOT-23","0.25","0.25","Estimate","Required","SMT bottom; source faces protected rail","https://www.aosmd.com/products/mosfets/low-voltage-mosfets-12v-30v/ao3401a","2026-09-06"
"F1","1","1 A resettable fuse","Littelfuse","1206L100/16YR","1206","0.8","0.8","Estimate","Required","SMT bottom","https://www.littelfuse.com/products/polyswitch-resettable-pptcs/surface-mount/1206l.aspx","2026-09-06"
"D1","1","5 V transient suppressor","Littelfuse","SMF5.0A","SOD-123F","0.4","0.4","Estimate","Required","SMT bottom; cathode to SENSOR5V","https://www.digikey.com/en/products/detail/littelfuse-inc/SMF5-0A/3429605","2026-09-06"
"C1","1","47 uF 10 V X5R bulk capacitor","Murata","GRM32ER61A476KE20L","1210","0.85","0.85","Estimate","Required","SMT bottom","https://www.murata.com/en-us/products/productdetail?partno=GRM32ER61A476KE20L","2026-09-06"
"C2","1","4.7 uF 10 V X5R input capacitor","Murata","GRM188R61A475KE15D","0603","0.15","0.15","Estimate","Required","SMT bottom","https://www.murata.com/en-us/products/productdetail?partno=GRM188R61A475KE15D","2026-09-06"
"C3","1","10 uF 10 V X5R output capacitor","Murata","GRM188R61A106KE69D","0603","0.2","0.2","Estimate","Required","SMT bottom","https://www.murata.com/en-us/products/productdetail?partno=GRM188R61A106KE69D","2026-09-06"
"C4","1","100 nF 16 V X7R bypass capacitor","Murata","GRM188R71C104KA01D","0603","0.05","0.05","Estimate","Required","SMT top","https://www.murata.com/en-us/products/productdetail?partno=GRM188R71C104KA01D","2026-09-06"
"R1 R2","2","4.7 kohm 1% I2C pull-up","Yageo","RC0603FR-074K7L","0603","0.03","0.06","Estimate","Required","SMT bottom","https://www.yageo.com/en/ProductSearch","2026-09-06"
"R3 R4","2","10 kohm 1% PM control pull-up","Yageo","RC0603FR-0710KL","0603","0.03","0.06","Estimate","Required","SMT bottom","https://www.yageo.com/en/ProductSearch","2026-09-06"
"J1 J2","2","Keyed 2-pin power / I2C connector","JST","B2B-PH-K-S(LF)(SN)","PH 2.00 mm vertical THT","0.5","1","Estimate","Required","Through-hole bottom; quote THT assembly separately","https://www.jst-mfg.com/product/index.php?series=199","2026-09-06"
"J3 J4","2","STEMMA QT / Qwiic socket","JST","SM04B-SRSS-TB(LF)(SN)","SH 1.00 mm horizontal SMT","0.7","1.4","Estimate","Required","SMT bottom; pin 1 GND, 2 3V3, 3 SDA, 4 SCL","https://www.jst-mfg.com/product/index.php?series=231","2026-09-06"
"J5","1","PMSA003I paired mating socket","Supplied with module","Adafruit 4505 supplied socket","2 x 5 1.27 mm SMT","","","Included in optional module kit","Optional PM","Consigned or hand-installed socket; verify land pattern against supplied part","https://www.adafruit.com/product/4505","2026-09-06"
