"ID","Qty","Part","MPN or specification","Unit USD","Line USD","Price basis","Installation","Notes","Source URL","Date"
"DISPLAY","1","Keyestudio 2.8-inch ESP32-32E touchscreen","Keyestudio E32R28T-compatible board","18.5","18.5","Listed price","Required","Confirm the actual PCB revision and expansion connector before making harnesses","https://www.keyestudio.com/products/28-inch-esp32-32e-display-screen-lcd-tft-module-with-touch-wroom-for-arduino","2026-09-06"
"PCB","1","AirMon two-layer carrier PCB","airmon r0.1; 42 x 55 x 1.6 mm","","","Manufacturer quote","Required","Gerber/drill exports; PCBA charges and shipping are additional","https://www.pcbway.com/","2026-09-06"
"PM","1","PM1 / PM2.5 / PM10 module and mating socket","Plantower PMSA003I; Adafruit 4505","39.95","39.95","Listed price","Optional PM","Bare I2C module; install supplied J5 socket once, then module is removable","https://www.adafruit.com/product/4505","2026-09-06"
"CO2","1","True CO2 breakout","Adafruit SCD40 5187","44.95","44.95","Listed price","Optional CO2","Fits full shell and full sensor frame","https://www.adafruit.com/product/5187","2026-09-06"
"GAS","1","VOC / NOx index breakout","Adafruit SGP41 6455","19.95","19.95","Listed price","Optional VOC/NOx","Fits full shell and full sensor frame","https://www.adafruit.com/product/6455","2026-09-06"
"QT-CO2","1","100 mm STEMMA QT cable","Adafruit 4210","0.95","0.95","Estimate","Optional CO2","4-pin JST SH cable; verify pin 1 to pin 1 continuity","https://www.adafruit.com/product/4210","2026-09-06"
"QT-GAS","1","100 mm STEMMA QT cable","Adafruit 4210","0.95","0.95","Estimate","Optional VOC/NOx","Dedicated cable from J4; route outside antenna keepout","https://www.adafruit.com/product/4210","2026-09-06"
"H-PWR","1","Power-only 100 mm harness","AM-HARNESS-PWR r0.1","","","Quote after connector verification","Required","Board UART pin 1 to J1 pin 1; UART pin 2 to J1 pin 2; UART pins 3/4 empty","https://www.lcdwiki.com/res/E32R28T/2.8inch_ESP32-32_Display_Schematic.pdf","2026-09-06"
"H-I2C","1","I2C 100 mm harness","AM-HARNESS-I2C r0.1","","","Quote after connector verification","Required","Board SPI pin 2 to J2 pin 1; SPI pin 3 to J2 pin 2; other signal positions empty","https://www.lcdwiki.com/res/E32R28T/2.8inch_ESP32-32_Display_Schematic.pdf","2026-09-06"
"PH-HOUSING","2","Carrier harness mating housing","JST PHR-2","0.12","0.24","Estimate","Required","One for each custom harness","https://www.jst-mfg.com/product/index.php?series=199","2026-09-06"
